ProdCodeId	DMDCode	TermfromEMIS	ProductName	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	DrugIssues
919641000033115	42274711000001109	Mirtazapine 30mg tablets	Mirtazapine 30mg tablets	Mirtazapine	30.000mg	Tablet/ Oral Tablet	Oral	04030400	15477371
937241000033118	42274911000001106	Moclobemide 150mg tablets	Moclobemide 150mg tablets	Moclobemide	150.000mg	Tablet/ Oral Tablet	Oral	04030200	143145
937841000033119	42275011000001106	Moclobemide 300mg tablets	Moclobemide 300mg tablets	Moclobemide	300.000mg	Tablet/ Oral Tablet	Oral	04030200	53269
966141000033116	42275111000001107	Nefazodone 100mg tablets	Nefazodone 100mg tablets	Nefazodone hydrochloride	100.000mg	Tablet/ Oral Tablet	Oral	04030400	75712
966241000033111	42275211000001101	Nefazodone 200mg tablets	Nefazodone 200mg tablets	Nefazodone hydrochloride	200.000mg	Tablet/ Oral Tablet	Oral	04030400	84861
979241000033110	38285811000001101	Nortriptyline 10mg capsules	Nortriptyline 10mg capsules	Nortriptyline hydrochloride	10.000mg	Capsule/ Oral capsule	Oral	04030100	9056
979341000033117	38285911000001106	Nortriptyline 25mg capsules	Nortriptyline 25mg capsules	Nortriptyline hydrochloride	25.000mg	Capsule/ Oral capsule	Oral	04030100	8092
989141000033111	39701411000001105	Nortriptyline 10mg tablets	Nortriptyline 10mg tablets	Nortriptyline hydrochloride	10.000mg	Tablet/ Oral Tablet	Oral	04030100	2381867
989241000033116	39701511000001109	Nortriptyline 25mg tablets	Nortriptyline 25mg tablets	Nortriptyline hydrochloride	25.000mg	Tablet/ Oral Tablet	Oral	04030100	1035296
1042141000033117	42276511000001105	Paroxetine 20mg tablets	Paroxetine 20mg tablets	Paroxetine hydrochloride	20.000mg	Tablet/ Oral Tablet	Oral	04030300	12258580
1042241000033112	42276611000001109	Paroxetine 30mg tablets	Paroxetine 30mg tablets	Paroxetine hydrochloride	30.000mg	Tablet/ Oral Tablet	Oral	04030300	3176994
1079341000033111	42277211000001109	Phenelzine 15mg tablets	Phenelzine 15mg tablets	Phenelzine sulfate	15.000mg	Tablet/ Oral Tablet	Oral	04030200	174388
