ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter
1455541000033110	111611000001109	Tritace 1.25mg capsules (Aventis Pharma)	Tritace 1.25mg capsules	Capsule/ Oral capsule	Oral	Ramipril	1.250mg	NA
1455641000033111	835411000001105	Tritace 2.5mg capsules (Sanofi)	Tritace 2.5mg capsules	Capsule/ Oral capsule	Oral	Ramipril	2.500mg	NA
1455741000033119	802311000001101	Tritace 5mg capsules (Sanofi)	Tritace 5mg capsules	Capsule/ Oral capsule	Oral	Ramipril	5.000mg	NA
1503441000033113	3671311000001104	Vascace 5mg tablets (Roche Products Ltd)	Vascace 5mg tablets	Tablet/ Oral Tablet	Oral	Cilazapril monohydrate	5.000mg	NA
1504641000033112	3669711000001105	Vascace 1mg tablets (Roche Products Ltd)	Vascace 1mg tablets	Tablet/ Oral Tablet	Oral	Cilazapril monohydrate	1.000mg	NA
1504741000033115	3672411000001101	Vascace 2.5mg tablets (Roche Products Ltd)	Vascace 2.5mg tablets	Tablet/ Oral Tablet	Oral	Cilazapril monohydrate	2.500mg	NA
1504941000033117	3740211000001108	Vascace 500microgram tablets (Roche Products Ltd)	Vascace 500microgram tablets	Tablet/ Oral Tablet	Oral	Cilazapril monohydrate	500.000microgram	NA
1551941000033114	825311000001100	Zestril 10mg tablets (Atnahs Pharma UK Ltd)	Zestril 10mg tablets	Tablet/ Oral Tablet	Oral	Lisinopril	10.000mg	NA
1552041000033115	593111000001108	Zestril 2.5mg tablets (AstraZeneca UK Ltd)	Zestril 2.5mg tablets	Tablet/ Oral Tablet	Oral	Lisinopril	2.500mg	NA
1552141000033116	891711000001107	Zestril 20mg tablets (Atnahs Pharma UK Ltd)	Zestril 20mg tablets	Tablet/ Oral Tablet	Oral	Lisinopril	20.000mg	NA
1552241000033111	823211000001109	Zestril 5mg tablets (Atnahs Pharma UK Ltd)	Zestril 5mg tablets	Tablet/ Oral Tablet	Oral	Lisinopril	5.000mg	NA
1622041000033110	777711000001105	Kaplon 12.5mg tablets (Teva UK Ltd)	Kaplon 12.5mg tablets	Tablet/ Oral Tablet	Oral	Captopril	12.500mg	NA
1622141000033114	477111000001100	Kaplon 25mg tablets (Teva UK Ltd)	Kaplon 25mg tablets	Tablet/ Oral Tablet	Oral	Captopril	25.000mg	NA
1622241000033119	572511000001102	Kaplon 50mg tablets (Teva UK Ltd)	Kaplon 50mg tablets	Tablet/ Oral Tablet	Oral	Captopril	50.000mg	NA
1753841000033118	680811000001102	Tanatril 10mg tablets (Northumbria Pharma Ltd)	Tanatril 10mg tablets	Tablet/ Oral Tablet	Oral	Imidapril hydrochloride	10.000mg	NA
1753941000033114	797911000001103	Tanatril 5mg tablets (Northumbria Pharma Ltd)	Tanatril 5mg tablets	Tablet/ Oral Tablet	Oral	Imidapril hydrochloride	5.000mg	NA
1769941000033115	43711000001100	Tritace 10mg capsules (Sanofi)	Tritace 10mg capsules	Capsule/ Oral capsule	Oral	Ramipril	10.000mg	NA
1918641000033112	448611000001106	Pralenal 2.5 tablets (Opus Pharmaceuticals Ltd)	Pralenal 2.5 tablets	Tablet/ Oral Tablet	Oral	Enalapril maleate	2.500mg	NA
1918741000033115	578511000001100	Pralenal 5 tablets (Opus Pharmaceuticals Ltd)	Pralenal 5 tablets	Tablet/ Oral Tablet	Oral	Enalapril maleate	5.000mg	NA
1918841000033113	761411000001101	Pralenal 10 tablets (Opus Pharmaceuticals Ltd)	Pralenal 10 tablets	Tablet/ Oral Tablet	Oral	Enalapril maleate	10.000mg	NA
1918941000033117	508511000001105	Pralenal 20 tablets (Opus Pharmaceuticals Ltd)	Pralenal 20 tablets	Tablet/ Oral Tablet	Oral	Enalapril maleate	20.000mg	NA
2145741000033116	533511000001106	Tanatril 20mg tablets (Northumbria Pharma Ltd)	Tanatril 20mg tablets	Tablet/ Oral Tablet	Oral	Imidapril hydrochloride	20.000mg	NA
2656341000033110	8351811000001102	Captopril 5mg/5ml oral suspension	Captopril 5mg/5ml oral suspension	Oral suspension	Oral	Captopril	1.000mg/1.000ml	02050501
2719841000033113	8348311000001101	Captopril 20mg/5ml oral suspension	Captopril 20mg/5ml oral suspension	Oral suspension	Oral	Captopril	4.000mg/1.000ml	02050501
2724641000033119	3042211000001107	Tritace titration pack capsules (Sanofi)	Tritace titration pack capsules	Not applicable	NA	NA	NA	NA
2846641000033111	3803711000001101	Coversyl 8mg tablets (Servier Laboratories Ltd)	Coversyl 8mg tablets	Tablet/ Oral Tablet	Oral	Perindopril erbumine	8.000mg	NA
2883341000033118	8720911000001100	Ramipril 5mg/5ml oral suspension	Ramipril 5mg/5ml oral suspension	Oral suspension	Oral	Ramipril	1.000mg/1.000ml	02050501
2928341000033114	673711000001107	Tensopril 12.5mg tablets (Teva UK Ltd)	Tensopril 12.5mg tablets	Tablet/ Oral Tablet	Oral	Captopril	12.500mg	NA
2928441000033115	597511000001109	Tensopril 25mg tablets (Teva UK Ltd)	Tensopril 25mg tablets	Tablet/ Oral Tablet	Oral	Captopril	25.000mg	NA
2928541000033119	653111000001108	Tensopril 50mg tablets (Teva UK Ltd)	Tensopril 50mg tablets	Tablet/ Oral Tablet	Oral	Captopril	50.000mg	NA
2945841000033112	221411000001104	Ecopace 12.5mg tablets (Advanz Pharma)	Ecopace 12.5mg tablets	Tablet/ Oral Tablet	Oral	Captopril	12.500mg	NA
2945941000033116	817411000001108	Ecopace 25mg tablets (Advanz Pharma)	Ecopace 25mg tablets	Tablet/ Oral Tablet	Oral	Captopril	25.000mg	NA
2946041000033114	767911000001101	Ecopace 50mg tablets (Advanz Pharma)	Ecopace 50mg tablets	Tablet/ Oral Tablet	Oral	Captopril	50.000mg	NA
2989941000033114	5010511000001106	Tritace 1.25mg tablets (Sanofi)	Tritace 1.25mg tablets	Tablet/ Oral Tablet	Oral	Ramipril	1.250mg	NA
2990041000033116	5010811000001109	Tritace 2.5mg tablets (Sanofi)	Tritace 2.5mg tablets	Tablet/ Oral Tablet	Oral	Ramipril	2.500mg	NA
2990141000033117	5011111000001108	Tritace 5mg tablets (Sanofi)	Tritace 5mg tablets	Tablet/ Oral Tablet	Oral	Ramipril	5.000mg	NA
2990241000033112	5011411000001103	Tritace 10mg tablets (Sanofi)	Tritace 10mg tablets	Tablet/ Oral Tablet	Oral	Ramipril	10.000mg	NA
3012741000033115	8348511000001107	Captopril 25mg/5ml oral solution	Captopril 25mg/5ml oral solution	Oral solution	Oral	Captopril	5.000mg/1.000ml	02050501
3014841000033118	5651611000001103	Gopten 4mg capsules (Abbott Laboratories Ltd)	Gopten 4mg capsules	Capsule/ Oral capsule	Oral	Trandolapril	4.000mg	NA
3152141000033115	8622611000001101	Lisinopril 5mg/5ml oral suspension	Lisinopril 5mg/5ml oral suspension	Oral suspension	Oral	Lisinopril	1.000mg/1.000ml	02050501
3159741000033111	7948711000001102	Lopace 2.5mg capsules (Discovery Pharmaceuticals)	Lopace 2.5mg capsules	Capsule/ Oral capsule	Oral	Ramipril	2.500mg	NA
3159841000033118	7948911000001100	Lopace 5mg capsules (Discovery Pharmaceuticals)	Lopace 5mg capsules	Capsule/ Oral capsule	Oral	Ramipril	5.000mg	NA
3159941000033114	7949111000001105	Lopace 10mg capsules (Discovery Pharmaceuticals)	Lopace 10mg capsules	Capsule/ Oral capsule	Oral	Ramipril	10.000mg	NA
3283141000033118	9207711000001100	Quinil 5mg tablets (Tillomed Laboratories Ltd)	Quinil 5mg tablets	Tablet/ Oral Tablet	Oral	Quinapril hydrochloride	5.000mg	NA
3333941000033117	19820711000001101	Captopril 8mg/5ml oral suspension	Captopril 8mg/5ml oral suspension	Oral suspension	Oral	Captopril	1.600mg/1.000ml	02050501
3851341000033117	8350511000001107	Captopril 3mg/5ml oral solution	Captopril 3mg/5ml oral solution	Oral solution	Oral	Captopril	600.000microgram/1.000ml	02050501
3940841000033110	8791811000001109	Captopril 2mg capsules	Captopril 2mg capsules	Capsule/ Oral capsule	Oral	Captopril	2.000mg	02050501
